calories,sugar,total_fat,saturated_fat,cholesterol,sodium,total_carbohydrates,dietary_fiber,total_sugars,added_sugars,protein,vitamin_d,calcium,iron,potassium,trans_fat
,,,,,,,,,,,,,,,
0.0,0.0,,,,,,,,,,,,,,
0.0,0.0,,,,,,,,,,,,,,
0.0,0.0,,,,,,,,,,,,,,
110.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
110.0,,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0
0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0
0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N/A,N/A,N/A,N/A,N/A,N/A,23g,N/A,N/A,N/A,N/A
110,N/A,N/A,N/A,N/A,N/A,23g,N/A,N/A,3g,N/A
110,N/A,N/A,N/A,N/A,N/A,23g,N/A,N/A,3g,N/A
110,0.5g,0g,0g,0mg,400mg,23g,2g,1g,3g,0mcg,10mg,1.2mg
110,0.5g,0g,0g,0mg,400mg,23g,2g,1g,3g,0mcg,10mg,1.2mg
110,0.5g,0g,0g,0mg,400mg,23g,2g,1g,3g,0mcg,10mg,1.2mg
N/A,9g,4.5g,0g,35mg,850mg,34g,4g,6g,15g,0mcg,320mg,1.6mg
